period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin
2018-09-30,50070000,-36468000,11209000,-0.7283403235470342
2019-03-31,61727000,-17147000,14360000,-0.2777876780015228
2019-06-30,67424000,-19771000,14832000,-0.29323386331276696
2019-09-30,73941000,-41086000,16033000,-0.5556592418279439
2020-03-31,91250000,-36071000,20821000,-0.3952986301369863
2020-06-30,99721000,-24704000,24164000,-0.2477311699642001
2020-09-30,114162000,-21252000,27005000,-0.1861565144268671
2021-03-31,138055000,-31254000,32084000,-0.226388033754663
2021-06-30,152428000,-28872000,35029000,-0.18941401842181227
2021-09-30,172347000,-26494000,37525000,-0.1537247529693003
2022-03-31,212167000,-40024000,47051000,-0.188643851305811
2022-06-30,234517000,-64541000,55804000,-0.2752081938622786
2022-09-30,253857000,-45947000,61967000,-0.1809955998849746
2023-03-31,290175000,-47272000,70432000,-0.16290858964418023
2023-06-30,308494000,-56172000,75221000,-0.18208457863037855
2023-09-30,335603000,-39212000,78069000,-0.11684043348837764
2024-03-31,378602000,-54550000,85038000,-0.14408270426463674
2024-06-30,400996000,-34698000,89011000,-0.0865295414418099
2024-09-30,430082000,-30794000,95967000,-0.07160029947777401
2025-03-31,479087000,-53247000,115576000,-0.1111426525871084
2025-06-30,512316000,-67264000,128677000,-0.13129396700473928
2025-09-30,562027000,-37460000,146316000,-0.0666516021472278
