period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin
2017-04-30,1937000000,554000000.0,787000000.0,0.28600929272070214
2017-07-31,2230000000,688000000.0,928000000.0,0.30852017937219733
2017-10-31,2636000000,895000000.0,1067000000.0,0.33952959028831564
2018-01-31,2911000000,,1110000000.0,
2018-04-30,3207000000,1295000000.0,1139000000.0,0.40380417835983784
2018-07-31,3123000000,1157000000.0,1148000000.0,0.37047710534742234
2018-10-31,3181000000,1058000000.0,1260000000.0,0.33259981138006917
2019-01-31,2205000000,,,
2019-04-30,2220000000,358000000.0,924000000.0,0.16126126126126125
2019-07-31,2579000000,571000000.0,1038000000.0,0.22140364482357502
2019-10-31,3014000000,927000000.0,1098000000.0,0.30756469807564696
2020-01-31,3105000000,,,
