period_end,Revenue,OperatingIncome,Operating_Margin
2014-03-31,1874000000,,
2014-06-30,1983000000,330000000.0,0.1664145234493192
2014-09-30,1975000000,272000000.0,0.13772151898734178
2014-12-31,2193000000,,
2015-03-31,2137000000,322000000.0,0.15067852129153017
2015-06-30,2297000000,398000000.0,0.17326948193295602
2015-09-30,2258000000,330000000.0,0.14614703277236493
2015-12-31,2556000000,,
2016-03-31,2544000000,407000000.0,0.15998427672955975
2016-06-30,2650000000,371000000.0,0.14
2016-09-30,2667000000,348000000.0,0.13048368953880765
2016-12-31,2981000000,,
2017-03-31,2975000000,431000000.0,0.14487394957983193
2017-06-30,3136000000,430000000.0,0.1371173469387755
2017-09-30,3239000000,423000000.0,0.13059586292065453
2017-12-31,3744000000,,
2018-03-31,3685000000,534000000.0,0.14491180461329714
