period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin
2009-05-31,1691599000,,1268709000,
2009-08-31,1768636000,,1311136000,
2009-10-31,1744139000,,1284852000,
2010-01-31,1979839000,,1462581000,
2010-05-31,1934778000,,1406082000,
2010-07-31,1911760000,,1395785000,
2010-10-31,1874320000,,1365513000,
2011-01-31,2145242000,,1562355000,
2011-04-30,2074576000,,1481206000,
2011-07-31,2089410000,,1524307000,
2011-10-31,2046427000,,1490213000,
2012-01-31,2397878000,,1745034000,
2012-04-30,2356841000,,1679127000,
2012-07-31,2340855000,,1689643000,
2012-10-31,2262723000,,1648997000,
2013-02-28,2760646000,,1993661000,
2013-05-31,2539914000,,1798811000,
2013-08-31,2551277000,,1823777000,
2013-11-30,2398122000,,1746235000,
2014-02-28,2741040000,,1992101000,
2014-05-31,2680593000,,1908184000,
2014-08-31,2729566000,,1944017000,
2014-11-30,2598820000,,1882185000,
2015-01-31,3032698000,,2203570000,
2015-05-31,2938148000,,2067455000,
2015-08-31,2968270000,,2119480000,
2015-10-31,2782855000,,2003347000,
2016-01-31,3250726000,,2386591000,
2016-04-30,3088995000,,2176205000,
2016-07-31,3180917000,,2251845000,
2016-10-31,3086687000,,2206092000,
2017-01-31,3510158000,,2539563000,
2017-04-30,3306429000,,2329966000,
2017-07-31,3431603000,,2420942000,
2017-10-31,3328894000,,2369148000,
2018-02-28,4067806000,,2922582000,
2018-05-31,3588619000,,2522219000,
