period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin
2019-03-31,130030000,-72641000,184952000,-0.5586480043066985
2019-06-30,185293000,-50120000,192109000,-0.27049052041901206
2019-09-30,208669000,-24648000,181582000,-0.11812008491917822
2020-03-31,141396000,-46395000,136768000,-0.32812102181108377
2020-06-30,172316000,-29500000,161607000,-0.17119710299681978
2020-09-30,184164000,-372000,144318000,-0.0020199387502443473
2021-03-31,177601000,-14397000,139356000,-0.08106373274925253
2021-06-30,212160000,-42711000,191126000,-0.20131504524886878
2021-09-30,190777000,-43889000,170345000,-0.2300539373194882
2022-03-31,185021000,-65659000,173102000,-0.35487323060625553
2022-06-30,227574000,-102173000,245206000,-0.44896605060332023
2022-09-30,276147000,-52592000,241330000,-0.19044928968991154
2023-03-31,258771000,-63681000,220924000,-0.2460901723918059
2023-06-30,285291000,-54456000,244745000,-0.19087878692282617
2023-09-30,383439000,-103708000,405482000,-0.2704680535887064
2024-03-31,226095000,-49017000,197222000,-0.2167982485238506
2024-06-30,326465000,-23128000,267245000,-0.07084373516303433
2024-09-30,321796000,-9651000,251665000,-0.029991050230580865
2025-03-31,319262000,-19070000,237314000,-0.05973150578521716
2025-06-30,396256000,-3503000,294119000,-0.00884024469030122
2025-09-30,513331000,7846000,367373000,0.015284485059347673
