period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin,price_at_period_end,shares_outstanding,market_cap,KBrand,Opex_Ratio,Selected_Margin,Benchmark_Margin,s_baseline_value,S_Surplus,s_total,V_Prod_base,K_Pi_prime,E_star,E_0,E_1,E_2,E_3,K_Pi_prime_lag,R_t,T_t,dK_Pi_prime,dK_Pi_prime_pct,PDI_t,PGR_t,Gate_C1,Gate_C2,Gate_C3,Speculative_Regime,Ticker,Raw_Configuration,Configuration,Regime,Phase
2008-07-31,101546000000,5813000000.0,77118000000,0.0572449924172296,13.56973934173584,,,10662330000.0,0,0.0572449924172296,,5812999999.999997,0.0,5812999999.999997,95733000000.0,,,0.0607209635131041,0.0,0.1113757011688759,,,0.0,inf,,,0.0,,False,False,False,False,WMT,N/A,Normal,Normal_Regime,Normal_Production
2008-10-31,97619000000,5292000000.0,73621000000,0.0542107581515893,12.971363067626951,,,10249995000.0,0,0.0542107581515893,,5291999999.999996,0.0,5291999999.999996,92327000000.0,,,0.0573180109827027,0.0,0.1110183911531837,,,0.0,inf,,,0.0,-0.0355781183082113,False,False,False,False,WMT,N/A,Normal,Normal_Regime,Normal_Production
2009-04-30,93471000000,5217000000.0,70395000000,0.055814102769843,11.83101749420166,,,9814455000.0,0,0.055814102769843,,5216999999.999995,0.0,5216999999.999995,88254000000.0,,,0.0591134679447956,0.0,0.1112069141342035,,,0.0,inf,,,0.0,-0.0441149392918648,False,False,False,False,WMT,N/A,Normal,Normal_Regime,Normal_Production
2009-07-31,100168000000,5929000000.0,75153000000,0.0591905598594361,11.772087097167969,,,10517640000.0,0,0.0591905598594361,,5928999999.999995,0.0,5928999999.999995,94239000000.0,,,0.0629145046106176,0.0,0.1116060229841148,,,0.0,inf,,,0.0,0.0678156230879054,False,False,False,False,WMT,N/A,Normal,Normal_Regime,Normal_Production
2009-10-31,98667000000,5593000000.0,73915000000,0.0566856193053401,11.78920078277588,,,10360035000.0,0,0.0566856193053401,,5592999999.999991,0.0,5592999999.999991,93074000000.00002,,,0.0600919698304573,0.0,0.111309656832198,,,0.0,inf,,,0.0,-0.0123621855070616,False,False,False,False,WMT,N/A,Normal,Normal_Regime,Normal_Production
2010-01-31,112826000000,,85078000000,,12.74302864074707,,,11846730000.0,0,,,,0.0,,,,,,,,,,0.0,inf,,,0.0,,False,False,False,False,WMT,N/A,Normal,Normal_Regime,Normal_Production
2010-04-30,99097000000,5772000000.0,74703000000,0.0582459610280836,12.865221977233888,,,10405185000.0,0,0.0582459610280836,,5772000000.0,0.0,5772000000.0,93325000000.0,,,0.0618483793195821,0.0,0.1114940798285561,,,0.0,inf,,,0.0,,False,False,False,False,WMT,N/A,Normal,Normal_Regime,Normal_Production
2010-07-31,103016000000,6190000000.0,77523000000,0.0600877533587015,12.348926544189451,,,10816680000.0,0,0.0600877533587015,,6189999999.999993,0.0,6189999999.999993,96826000000.0,,,0.0639291099498068,0.0,0.1117125565447297,,,0.0,inf,,,0.0,0.0375140637556925,False,False,False,False,WMT,N/A,Normal,Normal_Regime,Normal_Production
2010-10-31,101239000000,5611000000.0,75906000000,0.0554233052479775,13.144078254699709,,,10630095000.0,0,0.0554233052479775,,5610999999.999994,0.0,5610999999.999994,95628000000.00002,,,0.058675283389802,0.0,0.1111609047559292,,,0.0,inf,,,0.0,-0.0123727098093485,False,False,False,False,WMT,N/A,Normal,Normal_Regime,Normal_Production
2011-01-31,115600000000,,87158000000,,13.680350303649902,,,12138000000.0,0,,,,0.0,,,,,,,,,,0.0,inf,,,0.0,,False,False,False,False,WMT,N/A,Normal,Normal_Regime,Normal_Production
2011-04-30,103415000000,5896000000.0,78177000000,0.0570130058502151,13.50842571258545,,,10858575000.0,0,0.0570130058502151,,5895999999.999994,0.0,5895999999.999994,97519000000.00002,,,0.060460012920559,0.0,0.1113483013566586,,,0.0,inf,,,0.0,,False,False,False,False,WMT,N/A,Normal,Normal_Regime,Normal_Production
