ticker,type,sector,file,status,action,original_rows,max_consecutive_quarters,start_date,end_date
MSFT,Focal,Technology,MSFT_raw.csv,PROCESSED,KEPT,35,9,2015-12-31,2017-12-31
AAPL,Focal,Technology,AAPL_raw.csv,PROCESSED,DELETED,40,0,,
ORCL,Focal,Technology,ORCL_raw.csv,PROCESSED,DELETED,7,0,,
CRM,Focal,Technology,CRM_raw.csv,PROCESSED,DELETED,30,0,,
INTU,Focal,Technology,INTU_raw.csv,PROCESSED,KEPT,39,8,2016-01-31,2017-10-31
NOW,Focal,Technology,NOW_raw.csv,PROCESSED,DELETED,22,3,2016-03-31,2016-09-30
WDAY,Focal,Technology,WDAY_raw.csv,PROCESSED,KEPT,28,8,2016-01-31,2017-10-31
PANW,Focal,Technology,PANW_raw.csv,PROCESSED,KEPT,28,8,2016-01-31,2017-10-31
FTNT,Focal,Technology,FTNT_raw.csv,PROCESSED,DELETED,26,0,,
SNPS,Focal,Technology,SNPS_raw.csv,PROCESSED,DELETED,25,3,2019-01-31,2019-07-31
CDNS,Focal,Technology,CDNS_raw.csv,PROCESSED,DELETED,28,3,2016-04-30,2016-10-31
NVDA,Focal,Technology,NVDA_raw.csv,PROCESSED,DELETED,12,5,2019-01-31,2020-01-31
PLTR,Focal,Technology,PLTR_raw.csv,PROCESSED,DELETED,18,3,2021-03-31,2021-09-30
SNOW,Focal,Technology,SNOW_raw.csv,PROCESSED,DELETED,19,3,2021-04-30,2021-10-31
NET,Focal,Technology,NET_raw.csv,PROCESSED,DELETED,22,3,2020-03-31,2020-09-30
DDOG,Focal,Technology,DDOG_raw.csv,PROCESSED,DELETED,22,3,2020-03-31,2020-09-30
ZS,Focal,Technology,ZS_raw.csv,PROCESSED,DELETED,21,3,2019-03-31,2019-09-30
OKTA,Focal,Technology,OKTA_raw.csv,PROCESSED,DELETED,25,3,2019-04-30,2019-10-31
AMZN,Focal,Retail,AMZN_raw.csv,PROCESSED,KEPT,40,8,2015-12-31,2017-09-30
WMT,Focal,Retail,WMT_raw.csv,PROCESSED,KEPT,40,8,2016-01-31,2017-10-31
COST,Focal,Retail,COST_raw.csv,PROCESSED,DELETED,30,0,,
TGT,Focal,Retail,TGT_raw.csv,PROCESSED,KEPT,39,8,2016-01-31,2017-10-31
HD,Focal,Retail,HD_raw.csv,PROCESSED,KEPT,38,6,2016-07-31,2017-10-31
LOW,Focal,Retail,LOW_raw.csv,PROCESSED,DELETED,30,3,2016-04-30,2016-10-31
DG,Focal,Retail,DG_raw.csv,PROCESSED,KEPT,31,6,2020-07-31,2021-10-31
DLTR,Focal,Retail,DLTR_raw.csv,PROCESSED,KEPT,33,8,2018-11-30,2020-08-31
ROST,Focal,Retail,ROST_raw.csv,PROCESSED,DELETED,37,5,2016-10-31,2017-10-31
TJX,Focal,Retail,TJX_raw.csv,PROCESSED,KEPT,17,8,2016-01-31,2017-10-31
BBY,Focal,Retail,BBY_raw.csv,PROCESSED,KEPT,42,8,2016-01-31,2017-10-31
GPS,Focal,Retail,GPS_raw.csv,PROCESSED,DELETED,39,0,,
M,Focal,Retail,M_raw.csv,PROCESSED,KEPT,40,8,2016-01-31,2017-10-31
KSS,Focal,Retail,KSS_raw.csv,PROCESSED,KEPT,40,8,2016-01-31,2017-10-31
JWN,Focal,Retail,JWN_raw.csv,PROCESSED,DELETED,53,0,,
RIVN,Focal,Retail,RIVN_raw.csv,PROCESSED,DELETED,16,3,2024-03-31,2024-09-30
BBBY,Focal,Retail,BBBY_raw.csv,PROCESSED,KEPT,21,6,2019-08-31,2020-11-30
CHWY,Focal,Retail,CHWY_raw.csv,PROCESSED,KEPT,31,7,2023-03-31,2024-09-30
ETSY,Focal,Retail,ETSY_raw.csv,PROCESSED,DELETED,13,3,2016-03-31,2016-09-30
NFLX,Focal,Services,NFLX_raw.csv,PROCESSED,KEPT,64,12,2018-12-31,2021-09-30
UBER,Focal,Services,UBER_raw.csv,PROCESSED,DELETED,4,0,,
ABNB,Focal,Services,ABNB_raw.csv,PROCESSED,DELETED,18,3,2021-03-31,2021-09-30
DASH,Focal,Services,DASH_raw.csv,PROCESSED,DELETED,18,3,2021-03-31,2021-09-30
BKNG,Focal,Services,BKNG_raw.csv,PROCESSED,DELETED,37,0,,
EBAY,Focal,Services,EBAY_raw.csv,PROCESSED,KEPT,38,8,2015-12-31,2017-09-30
PYPL,Focal,Services,PYPL_raw.csv,PROCESSED,KEPT,17,8,2015-12-31,2017-09-30
SQ,Focal,Services,SQ_raw.csv,PROCESSED,DELETED,10,0,,
MA,Focal,Services,MA_raw.csv,PROCESSED,KEPT,18,7,2016-03-31,2017-09-30
AXP,Focal,Services,AXP_raw.csv,PROCESSED,DELETED,27,3,2017-03-31,2017-09-30
LYFT,Focal,Services,LYFT_raw.csv,PROCESSED,DELETED,24,3,2019-03-31,2019-09-30
HOOD,Focal,Services,HOOD_raw.csv,PROCESSED,DELETED,2,0,,
RBLX,Focal,Services,RBLX_raw.csv,PROCESSED,DELETED,15,3,2021-03-31,2021-09-30
COIN,Focal,Services,COIN_raw.csv,PROCESSED,DELETED,18,3,2024-03-31,2024-09-30
SOFI,Focal,Services,SOFI_raw.csv,PROCESSED,DELETED,17,3,2024-03-31,2024-09-30
LCID,Focal,Services,LCID_raw.csv,PROCESSED,DELETED,6,3,2024-03-31,2024-09-30
