period_end,Revenue,OperatingIncome,Operating_Margin,price_at_period_end,shares_outstanding,market_cap,KBrand,Opex_Ratio,Selected_Margin,Benchmark_Margin,s_baseline_value,S_Surplus,s_total,V_Prod_base,K_Pi_prime,E_star,E_0,E_1,E_2,E_3,K_Pi_prime_lag,R_t,T_t,dK_Pi_prime,dK_Pi_prime_pct,PDI_t,PGR_t,Gate_C1,Gate_C2,Gate_C3,Speculative_Regime
2016-03-31,200789000,91031000,0.4533664692786955,,,,21082845.0,0,0.4533664692786955,,91030999.99999999,0.0,91030999.99999999,109758000.00000001,,,0.8293791796497747,0.0,0.19208481386322634,,,,inf,,,,,False,False,False,False
2016-06-30,217528000,103136000,0.4741274686477143,,,,22840440.0,0,0.4741274686477143,,103136000.0,0.0,103136000.0,114391999.99999999,,,0.9016015105951466,0.0,0.1996681586124904,,,,inf,,,,0.042220157072832665,False,False,False,False
2016-09-30,212067000,71904000,0.3390626547270438,,,,22267035.0,0,0.3390626547270438,,71904000.0,0.0,71904000.0,140163000.0,,,0.5130027182637358,0.0,0.15886528541769226,,,,inf,,,,0.22528673333799576,False,False,False,False
2017-03-31,607165000,52190000,0.0859568651025668,,,,63752325.0,0,0.0859568651025668,,52189999.99999997,0.0,52189999.99999997,554975000.0,,,0.09404027208432807,0.0,0.11487422856885446,,,,inf,,,,2.9594971568816306,False,False,False,False
2017-06-30,679372000,105192000,0.1548371142761256,,,,71334060.0,0,0.1548371142761256,,105192000.0,0.0,105192000.0,574180000.0,,,0.1832038733498206,0.0,0.12423640670173117,,,,inf,,,,0.03460516239470257,False,False,False,False
2017-09-30,789853000,72589000,0.0919019108618945,,,,82934565.0,0,0.0919019108618945,,72588999.99999996,0.0,72588999.99999996,717264000.0000001,,,0.10120262553257928,0.0,0.1156262756809208,,,,inf,,,,0.24919711588700433,False,False,False,False
2018-03-31,666664000,-26299000,-0.0394486577946311,,,,69999720.0,0,-0.0394486577946311,,0.0,0.0,0.0,666664000.0,,,0.0,0.0,0.105,,,,inf,,,,-0.07054585201543662,False,False,False,False
2018-06-30,689599000,-41848000,-0.0606845427560074,,,,72407895.0,0,-0.0606845427560074,,0.0,0.0,0.0,689599000.0,,,0.0,0.0,0.105,,,,inf,,,,0.0344026376105504,False,False,False,False
2018-09-30,674769000,-13946000,-0.0206678137258824,,,,70850745.0,0,-0.0206678137258824,,0.0,0.0,0.0,674769000.0,,,0.0,0.0,0.105,,,,inf,,,,-0.02150525160274308,False,False,False,False
2019-03-31,632903000,-30155000,-0.0476455317797514,,,,66454815.0,0,-0.0476455317797514,,0.0,0.0,0.0,632903000.0,,,0.0,0.0,0.105,,,,inf,,,,-0.062044936859873556,False,False,False,False
