period_end,Revenue,OperatingIncome,Operating_Margin,price_at_period_end,shares_outstanding,market_cap,KBrand
2017-05-31,2742141000,337103000,0.1229342327765056,14.050000190734863,144119008.0,2024872089.89,287924805.0
2017-08-31,2936357000,168847000,0.0575022042619477,21.950000762939453,144119008.0,3163412335.55,308317485.0
2017-11-30,2954539000,168847000,0.0571483402317586,47.09999847412109,140310000.0,6608600785.9,310226595.0
2018-03-31,3716264000,337103000,0.0907101863592037,36.25,,,390207720.0
2018-06-30,2753667000,81229000,0.0294984832951842,33.650001525878906,,,289135035.0
2018-09-30,2935018000,78858000,0.0268679783224498,27.700000762939453,,,308176890.0
2018-12-31,3032231000,49513000,0.0163289010632765,13.579999923706056,138050000.0,1874718989.47,318384255.0
2019-03-31,3307881000,-296735000,-0.089705464011553,16.6200008392334,137472000.0,2284784755.37,347327505.0
2019-06-30,2572989000,-406842000,-0.1581203806156964,13.600000381469728,132089000.0,1796410450.39,270163845.0
2019-08-31,2719447000,-182258000,-0.0670202434539081,15.729999542236328,115104000.0,1810585867.31,285541935.0
2019-11-30,2759322000,-29758000,-0.0107845333020212,7.590000152587891,126566000.0,960635959.31,289728810.0
2020-02-29,3106822000,-81206000,-0.0261379634880916,6.460000038146973,126961000.0,820168064.84,326216310.0
2020-05-31,1307447000,-460929000,-0.3525412502380594,18.3700008392334,126553000.0,2324778716.21,137281935.0
2020-08-31,2687968000,270543000,0.1006496357099489,87.5,126034000.0,11027975000.0,282236640.0
2020-11-30,2618472000,-122849000,-0.0469162931663962,67.48999786376953,126008000.0,8504279650.82,274939560.0
2021-05-31,1953812000,-71872000,-0.0367855249123252,85.43000030517578,106633000.0,9109657222.54,205150260.0
2021-08-31,1984696000,-84114000,-0.0423813017207673,72.1500015258789,104514000.0,7540685259.48,208393080.0
2021-11-30,1877874000,-86111000,-0.0458555792348155,89.26000213623047,101060000.0,9020615815.89,197176770.0
2022-05-31,1463418000,-339158000,-0.2317574336245693,30.989999771118164,79845800.0,2474421323.72,153658890.0
2022-08-31,1437018000,-346202000,-0.2409169544153239,26.100000381469727,79957600.0,2086893390.5,150886890.0
2022-11-30,1259112000,-450933000,-0.3581357337552179,26.6200008392334,117300000.0,3122526098.44,132206760.0
