period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin,price_at_period_end,shares_outstanding,market_cap,KBrand
2017-05-31,5609625000,473795000,3910642000.0,0.0844610825144283,65.37483978271484,,,589010625.0
2017-08-31,5828305000,493146000,4037783000.0,0.0846122500452532,64.87635040283203,271564000.0,17618081220.79,611972025.0
2017-11-30,5903606000,417431000,4137150000.0,0.0707078012997479,79.0049819946289,271564000.0,21454908930.39,619878630.0
2018-02-28,6129431000,623446000,,0.1017135195746554,85.0753402709961,,,643590255.0
2018-05-31,6114463000,490184000,,0.0801679558777279,78.9215316772461,,,642018615.0
2018-08-31,6443309000,545476000,,0.084657743404825,97.47698974609376,,,676547445.0
2018-11-30,6417462000,442143000,,0.0688968629654527,100.70632934570312,265534000.0,26740954456.48,673833510.0
2019-02-28,6649809000,638503000,,0.0960182465391111,107.77153778076172,262884000.0,28331412937.96,698229945.0
2019-05-31,6623185000,512237000,,0.0773399806890491,116.09878540039062,259178000.0,30090251002.5,695434425.0
2019-08-31,6981753000,577775000,,0.0827550043663819,142.70425415039062,233399008.0,33307031356.08,733084065.0
2019-11-30,6991393000,491417000,,0.0702888537377315,144.15188598632812,257068000.0,37056837026.73,734096265.0
2020-01-31,7157642000,720875000,,0.1007140340352311,140.82342529296875,254600000.0,35853644079.59,751552410.0
2020-05-31,8448449000,866784000,,0.1025968198423166,176.18853759765625,251515008.0,44314061443.38,887087145.0
2020-07-31,8684241000,1042627000,,0.1200596574876261,175.5007781982422,251722000.0,44177406889.62,911845305.0
2020-10-31,8199625000,773130000,,0.0942884583136424,192.7059631347656,249034000.0,47990336823.3,860960625.0
2021-01-31,8414524000,872224000,,0.1036569626517198,179.9953155517578,245000992.0,44099030865.53,883525020.0
2021-04-30,8400964000,908850000,,0.1081840131680126,199.0358428955078,239264000.0,47622111914.55,882101220.0
2021-07-31,8650198000,849568000,,0.0982137056284723,216.0333251953125,236204992.0,51028149849.49,908270790.0
2021-10-31,8517839000,665588000,,0.0781404767101139,206.1209259033203,233310000.0,48090073222.5,894373095.0
2022-04-30,8751352000,746157000,,0.0852619115309268,221.95167541503903,228784992.0,50779212284.22,918891960.0
2022-07-31,9425713000,913426000,,0.0969078943948325,232.65821838378903,226996992.0,52812715737.2,989699865.0
2022-10-31,9464891000,735545000,,0.0777129921517321,239.40689086914065,225572000.0,54003491187.13,993813555.0
2023-05-31,9342832000,740858000,,0.0792969412272424,189.70281982421875,222268992.0,42165054541.89,980997360.0
2023-08-31,9796181000,692314000,,0.0706718260922292,131.1139373779297,219340992.0,28758661089.5,1028599005.0
2023-11-30,9694082000,433474000,,0.0447153221934784,124.8198013305664,219476000.0,27394950716.83,1017878610.0
2024-05-31,9914021000,546104000,,0.0550840067819101,131.38633728027344,239142000.0,31419991469.88,1040972205.0
2024-08-31,10210361000,549962000,,0.0538631298149007,79.98523712158203,219915008.0,17589954061.47,1072087905.0
2024-11-30,10183428000,323802000,,0.0317969548171794,75.01530456542969,219915008.0,16496991303.63,1069259940.0
2025-05-31,10435979000,576113000,,0.0552044997407526,95.76647186279295,219947008.0,21063548952.94,1095777795.0
2025-08-31,10727737000,595428000,,0.0555035978231009,107.64698791503906,226076000.0,24336400439.88,1126412385.0
2025-10-31,10649450000,425851000,,0.0399880745015,98.24102020263672,220106028.0,21623440743.47,1118192250.0
