period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin,price_at_period_end,shares_outstanding,market_cap,KBrand
2017-04-30,5287100000,388800000.0,3660000000.0,0.073537478012521,82.7699966430664,236560992.0,19580152513.72,555145500.0
2017-07-31,5281200000,419500000.0,3653400000.0,0.0794327046883284,72.08000183105469,236688992.0,17060542976.75,554526000.0
2017-10-31,5316600000,425200000.0,3650600000.0,0.0799759244630026,91.25,236844992.0,21612105520.0,558243000.0
2018-02-28,6360600000,765600000.0,,0.1203660032072446,102.63999938964844,,,667863000.0
2018-05-31,5553700000,437600000.0,3854100000.0,0.0787943173019788,82.58999633789062,,,583138500.0
2018-08-31,5525600000,382500000.0,3861700000.0,0.069223251773563,80.51000213623047,,,580188000.0
2018-11-30,5538800000,387800000.0,,0.0700151657398714,86.7699966430664,237888000.0,20641540961.43,581574000.0
2019-02-28,6205200000,-2147400000.0,,-0.3460645909882034,96.33000183105467,237970000.0,22923650535.74,651546000.0
2019-05-31,5808700000,385500000.0,,0.0663659682889458,101.58999633789062,238522000.0,24231449106.51,609913500.0
2019-08-31,5740600000,268900000.0,,0.0468417935407448,101.52999877929688,242274000.0,24598078924.26,602763000.0
2019-11-30,5746200000,358400000.0,,0.0623716543106748,91.45999908447266,236662000.0,21645106303.33,603351000.0
2020-02-29,6315300000,249400000.0,,0.0394913939163618,83.02999877929688,236662000.0,19650045571.11,663106500.0
2020-05-31,6286800000,365900000.0,,0.0582013106827002,97.87000274658205,237231008.0,23217799404.53,660114000.0
2020-08-31,6277600000,374900000.0,,0.0597202752644322,96.2699966430664,237308000.0,22845640363.37,659148000.0
2020-10-31,6177000000,465500000.0,,0.0753602072203335,90.31999969482422,237308000.0,21433658487.58,648585000.0
2021-01-31,6767900000,681600000.0,,0.1007107079005304,101.66000366210938,235192000.0,23909619581.3,710629500.0
2021-05-31,6476800000,519900000.0,,0.0802711215415019,97.5,231954000.0,22615515000.0,680064000.0
2021-07-31,6340200000,402200000.0,,0.0634364846534809,99.79000091552734,231954000.0,23146689872.36,665721000.0
2021-10-31,6415400000,310500000.0,,0.0483991645103968,107.76000213623048,224912000.0,24236517600.46,673617000.0
2022-04-30,6900100000,731500000.0,,0.1060129563339661,162.4499969482422,225110000.0,36569118813.02,724510500.0
2022-07-31,6765300000,505400000.0,,0.0747047433225429,165.36000061035156,224556000.0,37132580297.06,710356500.0
2022-10-31,6936600000,381300000.0,,0.0549692933137271,158.5,223936992.0,35494013232.0,728343000.0
2023-04-30,7319500000,419700000.0,,0.0573399822392239,153.7100067138672,221228000.0,34004957365.3,768547500.0
2023-07-31,7320100000,287800000.0,,0.0393164027813827,154.3300018310547,220384992.0,34012016218.9,768610500.0
2023-10-31,7309100000,301700000.0,,0.0412773118441395,111.08999633789062,220006000.0,24440465734.31,767455500.0
2024-02-29,4961400000,,,,146.67999267578125,217872000.0,31957463364.26,520947000.0
2024-05-31,7626400000,420600000.0,,0.055150529738802,117.9499969482422,218220000.0,25739048334.05,800772000.0
2024-08-31,7372700000,215800000.0,,0.0292701452656421,84.48999786376953,214944000.0,18160618100.83,774133500.0
2024-11-30,7561700000,333400000.0,,0.0440906145443484,71.2699966430664,215686000.0,15371940495.96,793978500.0
2025-02-28,4996700000,,,,72.86000061035156,215039008.0,15667742254.13,524653500.0
2025-05-31,4636500000,384100000.0,,0.0828426614903483,90.26000213623048,210148000.0,18967958928.92,486832500.0
2025-08-31,4566800000,231000000.0,,0.0505824647455548,109.16999816894533,215062000.0,23478318146.21,479514000.0
2025-11-30,4746300000,343300000.0,,0.0723300254935423,110.80999755859376,208695818.0,23125583083.07,498361500.0
