period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin,price_at_period_end,shares_outstanding,market_cap,KBrand
2009-03-31,2020586000,422764000.0,573386000.0,0.2092284119557395,4.688841819763184,,,333396690.0
2009-06-30,2097992000,411689000.0,591773000.0,0.1962300142231238,6.394894123077393,,,346168680.0
2009-09-30,2237852000,442941000.0,643908000.0,0.1979313198549323,8.810245513916016,,,369245580.0
2009-12-31,2370932000,,,,8.784111976623535,,,391203780.0
2010-03-31,2196057000,488609000.0,606555000.0,0.22249376951509,10.068320274353027,,,362349405.0
2010-06-30,2215379000,484565000.0,615371000.0,0.2187278113586885,7.320716381072998,,,365537535.0
2010-09-30,2249488000,490176000.0,640268000.0,0.2179055856265959,9.108898162841797,,,371165520.0
2010-12-31,2495350000,,,,10.38936996459961,,,411732750.0
2011-03-31,2546000000,565000000.0,729000000.0,0.2219167321288295,11.587716102600098,,,420090000.0
2011-06-30,2760274000,519000000.0,773462000.0,0.1880248120295304,12.046892166137695,,,455445210.0
2011-09-30,2966000000,537000000.0,920000000.0,0.1810519217801753,11.009075164794922,,,489390000.0
2011-12-31,3380010000,,,,11.322654724121094,,,557701650.0
2012-03-31,3277000000,653000000.0,983000000.0,0.1992676228257552,13.775344848632812,,,540705000.0
2012-06-30,3398000000,695000000.0,987000000.0,0.2045320776927604,15.6829833984375,,,560670000.0
2012-09-30,3404000000,667000000.0,1022000000.0,0.1959459459459459,18.057268142700195,,,561660000.0
2012-12-31,3992000000,,,,19.03908920288086,,,658680000.0
2013-03-31,3748000000,800000000.0,1152000000.0,0.2134471718249733,20.24116516113281,,,618420000.0
2013-06-30,3877000000,750000000.0,1211000000.0,0.193448542687645,19.30787467956543,,,639705000.0
2013-09-30,3892000000,799000000.0,1224000000.0,0.2052929085303186,20.83100891113281,,,642180000.0
2013-12-31,4530000000,,,,20.48381996154785,,,747450000.0
2014-03-31,4262000000,878000000.0,1351000000.0,0.2060065696855936,20.621946334838867,,,703230000.0
2014-06-30,4366000000,854000000.0,1392000000.0,0.19560238204306,18.68817138671875,,,720390000.0
2014-09-30,4353000000,781000000.0,1389000000.0,0.1794164943716976,21.140853881835938,,,718245000.0
2014-12-31,4921000000,,,,20.95046615600586,,,811965000.0
2015-03-31,4448000000,732000000.0,1450000000.0,0.164568345323741,21.53284072875977,,,733920000.0
2015-06-30,4379000000,741000000.0,1348000000.0,0.1692167161452386,22.48852729797364,,,722535000.0
2015-09-30,2099000000,578000000.0,433000000.0,0.2753692234397332,21.67821884155273,,,346335000.0
2015-12-31,2322000000,,,,24.37469291687012,1200650000.0,29265475050.64,383130000.0
2016-03-31,2137000000,614000000.0,477000000.0,0.28731867103416,21.16376495361328,1142640000.0,24182564386.6,352605000.0
2016-06-30,2230000000,531000000.0,493000000.0,0.2381165919282511,20.764612197875977,1148900000.0,23856462954.14,367950000.0
2016-09-30,2217000000,542000000.0,498000000.0,0.2444745151105097,29.182222366333008,1129020000.0,32947312696.04,365805000.0
2016-12-31,2395000000,,,,26.334959030151367,1129020000.0,29732695444.22,395175000.0
2017-03-31,2303000000,547000000.0,515000000.0,0.2375162831089882,29.776506423950195,1087040000.0,32368253543.09,379995000.0
2017-06-30,2419000000,480000000.0,561000000.0,0.1984291029350971,30.97394561767578,1082339968.0,33524339308.67,399135000.0
2017-09-30,2409000000,578000000.0,556000000.0,0.2399335823993358,34.11391830444336,1070320000.0,36512809039.61,397485000.0
2017-12-31,2613000000,,,,33.47529983520508,,,431145000.0
2018-03-31,2580000000,579000000.0,559000000.0,0.2244186046511627,35.69278335571289,,,425700000.0
2018-06-30,2640000000,406000000.0,597000000.0,0.1537878787878787,32.16252899169922,,,435600000.0
