period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin,price_at_period_end,shares_outstanding,market_cap,KBrand
2009-05-31,16175000000,980000000.0,10725000000.0,0.0605873261205564,15.306256294250488,,,1698375000.0
2009-08-31,19071000000,1833000000.0,12683000000.0,0.0961145194274028,18.202491760253903,,,2002455000.0
2009-11-30,16361000000,1263000000.0,10800000000.0,0.0771957704296803,18.400897979736328,,,1717905000.0
2010-01-31,14569000000,,,,18.99425506591797,,,1529745000.0
2010-05-31,16863000000,1305000000.0,11069000000.0,0.0773883650595979,23.132089614868164,,,1770615000.0
2010-08-31,19410000000,2049000000.0,12828000000.0,0.1055641421947449,19.301891326904297,,,2038050000.0
2010-10-31,16598000000,1448000000.0,10913000000.0,0.0872394264369201,21.43884658813477,,,1742790000.0
2011-01-31,15126000000,,,,25.709226608276367,,,1588230000.0
2011-05-31,16823000000,1422000000.0,10995000000.0,0.0845271354692979,25.5397891998291,,,1766415000.0
2011-07-31,20232000000,2294000000.0,13356000000.0,0.1133847370502174,24.77427101135254,,,2124360000.0
2011-10-31,17326000000,1615000000.0,11365000000.0,0.0932125129862634,25.5794620513916,,,1819230000.0
2012-01-31,16014000000,,,,31.965639114379883,,,1681470000.0
2012-04-30,17808000000,1714000000.0,11625000000.0,0.0962488769092542,37.524051666259766,,,1869840000.0
2012-07-31,20570000000,2569000000.0,13544000000.0,0.1248906174039863,38.02970504760742,,,2159850000.0
2012-10-31,18130000000,1733000000.0,11863000000.0,0.0955874241588527,44.96493911743164,,,1903650000.0
2013-02-28,18246000000,,,,50.40682601928711,,,1915830000.0
2013-05-31,19124000000,2094000000.0,12445000000.0,0.1094959213553649,58.20149612426758,,,2008020000.0
2013-08-31,22522000000,3018000000.0,14801000000.0,0.1340023088535654,55.38923263549805,,,2364810000.0
2013-11-30,19470000000,2293000000.0,12672000000.0,0.1177709296353364,60.300254821777344,,,2044350000.0
2014-02-28,17696000000,,,,61.61811065673828,,,1858080000.0
2014-05-31,19687000000,2277000000.0,12930000000.0,0.1156600802560065,60.6126708984375,,,2067135000.0
2014-08-31,23811000000,3448000000.0,15804000000.0,0.1448070219646381,71.05105590820312,,,2500155000.0
2014-11-30,20516000000,2553000000.0,13473000000.0,0.124439461883408,75.91609954833984,,,2154180000.0
2015-02-28,19162000000,,,,88.05812072753906,,,2012010000.0
2015-05-31,20891000000,2597000000.0,13712000000.0,0.1243119046479345,85.94264221191406,,,2193555000.0
2015-08-31,24829000000,3647000000.0,16464000000.0,0.1468846912884127,90.307373046875,,,2607045000.0
2015-11-30,21819000000,2981000000.0,14254000000.0,0.1366240432650442,104.34407806396484,1267880000.0,132295769695.74,2290995000.0
2016-01-31,20980000000,,,,98.44932556152344,1267880000.0,124821930892.94,2202900000.0
2016-05-31,22762000000,3077000000.0,14971000000.0,0.1351814427554696,104.53543090820312,1244010000.0,130043121404.11,2390010000.0
2016-07-31,26472000000,4103000000.0,17545000000.0,0.1549939558779087,109.37767791748048,1244010000.0,136066925106.12,2779560000.0
2016-10-31,23154000000,3320000000.0,15112000000.0,0.1433877515764015,97.0312957763672,1235570000.0,119888958122.41,2431170000.0
2017-01-31,22207000000,,,,109.99466705322266,1218160000.0,133991103617.55,2331735000.0
2017-04-30,23887000000,3349000000.0,15733000000.0,0.1402017833968267,125.5608901977539,1201170048.0,150819980505.76,2508135000.0
2017-07-31,28108000000,4463000000.0,18647000000.0,0.1587804183862245,121.02784729003906,1195549952.0,144694837018.27,2951340000.0
2017-10-31,25026000000,3680000000.0,16378000000.0,0.147047071046112,134.91078186035156,1167750016.0,157542067676.0,2627730000.0
2018-01-31,23883000000,,,,164.31947326660156,,,2507715000.0
2018-04-30,24947000000,3381000000.0,16330000000.0,0.1355273179139776,152.01307678222656,,,2619435000.0
2018-07-31,30463000000,4901000000.0,20098000000.0,0.160883694974231,163.38587951660156,,,3198615000.0
