period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin,price_at_period_end,shares_outstanding,market_cap,KBrand
2008-08-31,3725000000,406000000.0,,0.108993288590604,25.328462600708008,,,391125000.0
2008-11-30,3804000000,285000000.0,,0.0749211356466877,16.823823928833008,,,399420000.0
2009-05-31,3638000000,251000000.0,,0.0689939527212754,21.877159118652344,,,381990000.0
2009-08-31,3806000000,399000000.0,,0.104834471886495,26.57504653930664,,,399630000.0
2009-10-31,4051000000,339000000.0,,0.083683041224389,29.475181579589844,,,425355000.0
2010-01-31,5682000000,,,,25.94659996032715,,,596610000.0
2010-05-31,4035000000,388000000.0,,0.0961586121437422,26.14235496520996,,,423675000.0
2010-07-31,4100000000,488000000.0,,0.1190243902439024,24.56608390808105,,,430500000.0
2010-10-31,4218000000,356000000.0,,0.0844001896633475,26.384462356567383,,,442890000.0
2011-01-31,6038000000,,,,26.15780258178711,,,633990000.0
2011-04-30,4162000000,391000000.0,,0.0939452186448822,27.27808952331543,,,437010000.0
2011-07-31,4248000000,547000000.0,,0.1287664783427495,28.453514099121094,,,446040000.0
2011-10-31,4376000000,415000000.0,,0.094835466179159,27.7220516204834,,,459480000.0
2012-01-31,6018000000,,,,24.170515060424805,,,631890000.0
2012-04-30,4243000000,321000000.0,,0.0756540183832194,26.52167701721192,,,445515000.0
2012-07-31,4205000000,457000000.0,,0.108680142687277,26.49443817138672,,,441525000.0
2012-10-31,4490000000,425000000.0,,0.0946547884187082,28.564680099487305,,,471450000.0
2013-02-28,6342000000,,,,24.89373016357422,,,665910000.0
2013-05-31,4199000000,317000000.0,,0.075494165277447,27.970903396606445,,,440895000.0
2013-08-31,4289000000,451000000.0,,0.1051527162508743,28.10581970214844,,,450345000.0
2013-11-30,4444000000,365000000.0,,0.0821332133213321,30.484092712402344,,,466620000.0
2014-02-28,6099000000,,,,31.185461044311523,,,640395000.0
2014-05-31,4070000000,280000000.0,,0.0687960687960688,30.428220748901367,,,427350000.0
2014-08-31,4242000000,451000000.0,,0.1063177746346063,33.09772872924805,,,445410000.0
2014-11-30,4374000000,304000000.0,,0.0695016003657979,33.78477096557617,,,459270000.0
2015-01-31,6337000000,,,,34.07434844970703,,,665385000.0
2015-05-31,4123000000,280000000.0,,0.0679117147707979,37.59714889526367,,,432915000.0
2015-08-31,4267000000,424000000.0,,0.0993672369346144,29.505163192749023,,,448035000.0
2015-10-31,4427000000,308000000.0,,0.069573074316693,26.90112495422364,,,464835000.0
2016-01-31,6387000000,,,,29.29259490966797,189820000.0,5560320365.75,670635000.0
2016-04-30,3972000000,106000000.0,,0.026686807653575,26.361268997192383,185169000.0,4881289818.94,417060000.0
2016-07-31,4182000000,302000000.0,,0.0722142515542802,25.07819175720215,183709000.0,4607089529.52,439110000.0
2016-10-31,4327000000,301000000.0,,0.0695632077651952,26.684425354003903,179593000.0,4792336002.6,454335000.0
2017-01-31,6205000000,,,,24.51548767089844,176473000.0,4326321655.75,651525000.0
2017-04-30,3843000000,185000000.0,,0.0481394743689825,24.34700393676757,172356000.0,4196352210.53,403515000.0
2017-07-31,4147000000,407000000.0,,0.0981432360742705,26.16338348388672,170480992.0,4460359570.41,435435000.0
2017-10-31,4332000000,257000000.0,2727000000.0,0.05932594644506,26.793249130249023,167096000.0,4477044756.67,454860000.0
2018-02-28,6776000000,,,,42.87358856201172,,,711480000.0
2018-05-31,3953000000,210000000.0,,0.0531242094611687,43.724910736083984,,,415065000.0
2018-08-31,4310000000,452000000.0,,0.1048723897911833,52.22881317138672,,,452550000.0
