period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin,price_at_period_end,shares_outstanding,market_cap,KBrand
2009-09-30,12920000000,4482000000.0,2842000000.0,0.3469040247678018,19.09332275390625,,,2519400000.0
2009-12-31,19022000000,8513000000.0,3628000000.0,0.4475344338134791,22.726938247680664,,,3709290000.0
2010-03-31,14503000000,5173000000.0,2755000000.0,0.3566848238295525,21.941755294799805,,,2828085000.0
2010-06-30,16039000000,,,,17.315053939819336,,,3127605000.0
2010-09-30,16195000000,7116000000.0,3139000000.0,0.4393948749614078,18.527063369750977,,,3158025000.0
2010-12-31,19953000000,8165000000.0,4833000000.0,0.4092116473713226,21.24407386779785,,,3890835000.0
2011-03-31,16428000000,5709000000.0,3897000000.0,0.3475164353542732,19.4401798248291,,,3203460000.0
2011-06-30,17367000000,,,,20.0377140045166,,,3386565000.0
2011-09-30,17372000000,7203000000.0,3777000000.0,0.4146327423440018,19.303335189819336,,,3387540000.0
2011-12-31,20885000000,7994000000.0,5638000000.0,0.3827627483840076,20.28477478027344,,,4072575000.0
2012-03-31,17407000000,6374000000.0,3952000000.0,0.3661745274889412,25.37344741821289,,,3394365000.0
2012-06-30,18059000000,,,,24.217817306518555,,,3521505000.0
2012-09-30,16008000000,5308000000.0,4168000000.0,0.331584207896052,23.716794967651367,,,3121560000.0
2012-12-31,21456000000,7771000000.0,5692000000.0,0.362183072334079,21.4610538482666,,,4183920000.0
2013-03-31,20489000000,7612000000.0,4787000000.0,0.3715164234467275,23.17800521850586,,,3995355000.0
2013-06-30,19896000000,,,,28.178321838378903,,,3879720000.0
2013-09-30,18529000000,6334000000.0,5145000000.0,0.3418425171353014,27.341711044311523,,,3613155000.0
2013-12-31,24519000000,7969000000.0,8322000000.0,0.3250132550267139,30.96786499023437,,,4781205000.0
2014-03-31,20403000000,6974000000.0,5978000000.0,0.3418124785570749,34.18582534790039,,,3978585000.0
2014-06-30,23382000000,6482000000.0,,0.2772217945428107,35.02332305908203,,,4559490000.0
2014-09-30,23201000000,5844000000.0,8273000000.0,0.25188569458213,39.18038177490234,,,4524195000.0
2014-12-31,26470000000,7776000000.0,10136000000.0,0.2937665281450698,39.504051208496094,,,5161650000.0
2015-03-31,21729000000,6594000000.0,7161000000.0,0.3034654148833356,34.82594680786133,,,4237155000.0
2015-06-30,22180000000,-2053000000.0,,-0.0925608656447249,38.06093978881836,,,4325100000.0
2015-09-30,20379000000,5793000000.0,7207000000.0,0.2842632121301339,38.40739440917969,,,3973905000.0
2015-12-31,23796000000,6026000000.0,9872000000.0,0.253235837955959,48.46825408935547,7987910000.0,387160051522.9,4640220000.0
2016-03-31,20531000000,5283000000.0,7722000000.0,0.2573182017437046,48.59626388549805,7909300000.0,384362429949.57,4003545000.0
2016-06-30,20614000000,3080000000.0,,0.1494130202774813,45.33882522583008,7860470000.0,356384475522.88,4019730000.0
2016-09-30,21928000000,6715000000.0,7844000000.0,0.3062294782925939,51.35418319702149,7784060000.0,399744043256.61,4275960000.0
2016-12-31,25826000000,7905000000.0,9901000000.0,0.306086889181445,55.77616882324219,7775350000.0,433679234259.8,5036070000.0
2017-03-31,23212000000,6723000000.0,8060000000.0,0.2896346717215233,59.473594665527344,7727530000.0,459583986985.7,4526340000.0
2017-06-30,23317000000,7682000000.0,,0.3294591928635759,62.60267639160156,7720509952.0,483324586103.2,4546815000.0
2017-09-30,24538000000,7708000000.0,8278000000.0,0.3141250305648382,68.01276397705078,7715429888.0,524747711954.03,4784910000.0
2017-12-31,28918000000,8679000000.0,11064000000.0,0.3001244899370634,78.494140625,7699789824.0,604388385228.0,5639010000.0
2018-03-31,26819000000,8292000000.0,9269000000.0,0.3091837876132592,84.14558410644531,,,5229705000.0
