period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin,price_at_period_end,shares_outstanding,market_cap,KBrand
2008-06-30,337614000,34201000.0,230087000.0,0.1013020787052669,0.3724290132522583,,,55706310.0
2008-09-30,341269000,34074000.0,224496000.0,0.0998449903155575,0.4411430060863495,,,56309385.0
2009-03-31,394098000,36471000.0,259268000.0,0.0925429715451486,0.6131430268287659,,,65026170.0
2009-06-30,408509000,52782000.0,269243000.0,0.1292064556717232,0.5905709862709045,,,67403985.0
2009-09-30,423120000,49337000.0,275274000.0,0.1166028549820381,0.6595709919929504,,,69814800.0
2010-03-31,493665000,58345000.0,307162000.0,0.118187434798902,1.0534290075302124,,,81454725.0
2010-06-30,519819000,77342000.0,314934000.0,0.1487864044984889,1.5521429777145386,,,85770135.0
2010-09-30,553219000,69501000.0,344469000.0,0.1256301753916622,2.316570997238159,,,91281135.0
2010-12-31,595922000,,,,2.509999990463257,,,98327130.0
2011-03-31,718553000,102240000.0,438151000.0,0.1422859552461683,3.396857023239136,,,118561245.0
2011-06-30,788610000,115114000.0,489978000.0,0.1459707586766589,3.752713918685913,,,130120650.0
2011-09-30,821839000,96842000.0,536617000.0,0.1178357318160856,1.6181429624557495,,,135603435.0
2011-12-31,875575000,61872000.0,575155000.0,0.0706644205236558,0.989857017993927,,,144469875.0
2012-03-31,869791000,-1935000.0,623933000.0,-0.0022246723638207,1.6434290409088137,,,143515515.0
2012-06-30,889163000,16154000.0,643428000.0,0.0181676475516862,0.9784290194511414,,,146711895.0
2012-09-30,905089000,16135000.0,662638000.0,0.017826976131629,0.7777140140533447,,,149339685.0
2012-12-31,945239000,,,,1.3227139711380005,,,155964435.0
2013-03-31,1023961000,31822000.0,736952000.0,0.0310773554852186,2.7039999961853027,,,168953565.0
2013-06-30,1069372000,57117000.0,760674000.0,0.0534117220200267,3.015571117401123,,,176446380.0
2013-09-30,1105999000,57120000.0,798900000.0,0.0516456163161087,4.417285919189453,,,182489835.0
2013-12-31,1175230000,,,,5.259571075439453,,,193912950.0
2014-03-31,1270089000,97595000.0,869186000.0,0.0768410717674115,5.02899980545044,,,209564685.0
2014-06-30,1340407000,129600000.0,914848000.0,0.0966870510225625,6.294285774230957,,,221167155.0
2014-09-30,1409432000,110407000.0,954394000.0,0.0783343928618053,6.445428848266602,,,232556280.0
2014-12-31,1484728000,,,,4.880143165588379,,,244980120.0
2015-03-31,1573129000,97456000.0,1046401000.0,0.0619504185607156,5.952713966369629,,,259566285.0
