period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin,price_at_period_end,shares_outstanding,market_cap,KBrand
2011-10-31,57113000,6900000,10310000,0.1208131248577381,,,,11137035.0
2012-01-31,56683000,1276000,10248000,0.0225111585484183,,,,11053185.0
2012-04-30,65700000,-41000,11524000,-0.0006240487062404,,,,12811500.0
2012-07-31,75642000,-4244000,12533000,-0.0561063959176119,9.523332595825195,,,14750190.0
2012-10-31,85934000,-3131000,14416000,-0.0364349384411292,9.16333293914795,,,16757130.0
2013-01-31,96499000,-2157000,16636000,-0.0223525632389972,9.226667404174805,,,18817305.0
2013-04-30,101289000,-6450000,15855000,-0.0636791754287237,9.016667366027832,,,19751355.0
2013-07-31,112385000,-6883000,16505000,-0.0612448280464474,8.15666675567627,,,21915075.0
2013-10-31,128180000,-7011000,17954000,-0.0546965205180215,7.02666711807251,,,24995100.0
2014-01-31,141068000,-37156000,20221000,-0.2633907051918224,9.908332824707031,,,27508260.0
2014-04-30,150700000,-145732000,20425000,-0.9670338420703384,10.596667289733888,,,29386500.0
2014-07-31,178231000,-25448000,26903000,-0.1427809976940038,13.476667404174805,,,34755045.0
2014-10-31,192346000,-23763000,29141000,-0.1235429902363449,17.616666793823242,,,37507470.0
2015-01-31,217700000,-38500000,30700000,-0.1768488745980707,21.065000534057617,,,42451500.0
2015-04-30,234200000,-36700000,32851000,-0.1567036720751494,24.6200008392334,,,45669000.0
2015-07-31,283900000,-34500000,38500000,-0.1215216625572384,30.97166633605957,,,55360500.0
2015-10-31,297200000,-30800000,38800000,-0.1036339165545087,26.83333206176757,,,57954000.0
2016-01-31,334700000,-50100000,44900000,-0.1496862862264714,24.915000915527344,85908900.0,2140420322.15,65266500.0
2016-04-30,345800000,-52500000,43200000,-0.1518218623481781,25.145000457763672,88370500.0,2222076262.95,67431000.0
2016-07-31,400800000,-22700000,48500000,-0.0566367265469061,21.815000534057617,89602700.0,1954682948.35,78156000.0
2016-10-31,398100000,-49000000,42200000,-0.1230846520974629,25.63833236694336,91210000.0,2338472295.19,77629500.0
2017-01-31,422600000,-54400000,45800000,-0.1287269285376242,24.59333229064941,91686400.0,2254874101.73,82407000.0
2017-04-30,431800000,-49100000,49700000,-0.1137100509495136,18.06833267211914,92036304.0,1662942558.58,84201000.0
2017-07-31,509100000,-27300000,63700000,-0.0536240424278137,21.96333312988281,91842400.0,2017165226.65,99274500.0
2017-10-31,505500000,-53500000,57600000,-0.105835806132542,24.53333282470703,91848304.0,2253345011.42,98572500.0
2018-01-31,542400000,-22500000,63900000,-0.0414823008849557,26.31166648864746,,,105768000.0
2018-04-30,567100000,-45300000,68900000,-0.0798800916945864,32.084999084472656,,,110584500.0
2018-07-31,658100000,17100000,82000000,0.025983893025376,33.043331146240234,,,128329500.0
