period_end,Revenue,OperatingIncome,Operating_Margin,price_at_period_end,shares_outstanding,market_cap,KBrand
2014-03-31,1874000000,,,,,,309210000.0
2014-06-30,1983000000,330000000.0,0.1664145234493192,,,,327195000.0
2014-09-30,1975000000,272000000.0,0.1377215189873417,,,,325875000.0
2014-12-31,2193000000,,,,,,361845000.0
2015-03-31,2137000000,322000000.0,0.1506785212915301,,,,352605000.0
2015-06-30,2297000000,398000000.0,0.173269481932956,,,,379005000.0
2015-09-30,2258000000,330000000.0,0.1461470327723649,30.874929428100582,,,372570000.0
2015-12-31,2556000000,,,36.00748825073242,1221690000.0,43989988321.04,421740000.0
2016-03-31,2544000000,407000000.0,0.1599842767295597,38.39472579956055,1222680000.0,46944463340.61,419760000.0
2016-06-30,2650000000,371000000.0,0.14,36.31583786010742,1212030000.0,44015884961.59,437250000.0
2016-09-30,2667000000,348000000.0,0.1304836895388076,40.75212478637695,1207000000.0,49187814617.16,440055000.0
2016-12-31,2981000000,,,39.260101318359375,1206650000.0,47373201255.8,491865000.0
2017-03-31,2975000000,431000000.0,0.1448739495798319,42.79121780395508,1207580000.0,51673818795.7,490875000.0
2017-06-30,3136000000,430000000.0,0.1371173469387755,53.38458251953125,1202400000.0,64189622021.48,517440000.0
2017-09-30,3239000000,423000000.0,0.1305958629206545,63.68948745727539,1200160000.0,76437575266.72,534435000.0
2017-12-31,3744000000,,,73.2284927368164,,,617760000.0
2018-03-31,3685000000,534000000.0,0.1449118046132971,75.46652221679688,,,608025000.0
